Project,Organization,github,Version,
Module Parameters,beta_voc,V/°C,Temperature coefficient of open-circuit voltage at reference conditions.,
Module Parameters,beta_voc_norm,1/°C,beta_voc/voc_ref. Temperature coefficient of open-circuit voltage at reference conditions divided by the open-circuit voltage at reference conditions.,
Module Parameters,cells_in_series,dimensionless,Number of cells in series in a PV module.,
Module Parameters,diode_factor,dimensionless,Diode ideality factor.,
Module Parameters,fill_factor,dimensionless,Fill factor of the PV pmp/(voc*isc),
Module Parameters,gamma_pmp,W/°C,Temperature coefficient of power at maximum power point and reference conditions.,gamma_pdc
Module Parameters,imp_ref,A,Current at maximum power point at reference conditions.,
Module Parameters,irradiance_ref,W/m^2,Reference irradiance. Typical value is 1000 W/m^2.,
Module Parameters,isc_ref,A,Short circuit current at reference conditions.,i_sc_ref
Module Parameters,module_area,m^2,Module aperture area. The area inside the frame for a rectangular module.,
Module Parameters,module_area_active,m^2,Total area of cells in a module.,
Module Parameters,module_area_external,m^2,External dimensions of a module.,
Module Parameters,nNsVth,V,"The product of the usual diode ideality factor (n, unitless), number of cells in series (Ns), and cell thermal voltage.",
Module Parameters,nNsVth_ref,V,"The product of the usual diode ideality factor (n, unitless), number of cells in series (Ns), and cell thermal voltage at reference conditions.",a_ref
Module Parameters,noct,°C,Nominal operating cell temperature.,
Module Parameters,photocurrent,A,Photo-generated current.,I_L
Module Parameters,photocurrent_ref,A,Photocurrent at reference conditions.,I_L_ref
Module Parameters,pmp_ref,W,Power at maximum power point at reference conditions.,p_mp_ref
Module Parameters,resistance_series,Ohm,Series resistance.,"R_s,Rs"
Module Parameters,resistance_series_ref,Ohm,Series resistance at reference conditions.,R_s_ref
Module Parameters,resistance_shunt,Ohm,Shunt resistance.,"R_sh,Rsh"
Module Parameters,resistance_shunt_ref,Ohm,Shunt resistance at reference conditions.,R_sh_ref
Module Parameters,saturation_current,A,The dark or diode reverse saturation current.,I_o
Module Parameters,saturation_current_ref,A,The dark or diode reverse saturation current at reference conditions.,I_o_ref
Module Parameters,temperature_ref,°C,Reference temperature. Typical value is 25 °C.,
Module Parameters,vmp_ref,V,Voltage at maximum power point at reference conditions.,v_mp_ref
Module Parameters,voc_ref,V,Open circuit voltage at reference conditions.,v_oc_ref
Module Parameters,voltage_thermal,V,"Thermal voltage per cell, equal to k_B*T/q where k_B is the boltzman constant (in J/K), T is the temperature (in Kelvin) and q is the electron charge (in Coulombs). ",
Optional Suffixes,*_array,,Quantity relating to a number of PV strings.,
Optional Suffixes,*_cell,,Quantity relating to a single PV cell,
Optional Suffixes,*_cumulative,,"Quantity integrated over a specific length of time, usually the full lifetime of the system.",
Optional Suffixes,*_interval,,"Quantity integrated over a specific length of time, usually a shorter timespan e.g. day or hour.",
Optional Suffixes,*_inv,,Quautity relating to an inverter.,
Optional Suffixes,*_meas,,"Parameter measured from field data, e.g. voc_meas",
Optional Suffixes,*_module,,Quantity relating to a single PV module,
Optional Suffixes,*_norm,,Normalized quantity,
Optional Suffixes,*_rated,,Parameter on the datasheet or as-built.,
Optional Suffixes,*_sim,,"Parameter predicted from a model, e.g. voc_sim",
Optional Suffixes,*_string,,Quantity relating to a string of PV modules.,
PV System,aoi,degrees,"Angle between direct beam component and surface normal, between 0 and 90.",
PV System,array_height,m,Height above ground of the bottom edge of the module for a fixed tilt system.,
PV System,axis_azimuth,degrees,"Azimuth of axis of rotation for a single-axis tracking system (e.g. North=0, South=180, East=90, West=270).",
PV System,axis_height,m,Height above ground of the axis of rotation for a single axis tracker.,
PV System,axis_tilt,degrees,Orientation of axis of rotation for a single-axis tracking system relative to horizontal. 0 = horizontal.,
PV System,date_time,YYYY-MM-DD HH:MM:SS,Date and time of measurement interval,
PV System,ground_coverage_ratio,dimensionless,"A value denoting the ground coverage ratio of a tracker system which utilizes backtracking; i.e. the ratio between the PV array surface area to total ground area. A tracker system with modules 2 meters wide, centered on the tracking axis, with 6 meters between the tracking axes has a gcr of 2/6=0.333. If gcr is not provided, a gcr of 2/7 is default. gcr must be <=1.",
PV System,modules_per_string,dimensionless,Number of modules in series in each string.,
PV System,parallel_strings,dimensionless,Number of parallel strings in an array of modules.,
PV System,spectral_mismatch,dimensionless,The ratio of power produced by a PV cell with a particular spectral distribution of light divided by the power produced by a reference spectrum.,
PV System,surface_azimuth,degrees,"Surface azimuth angles. The azimuth convention is defined as degrees east of north (e.g. North=0, South=180, East=90, West=270)",
PV System,surface_tilt,degrees,"Surface tilt angle. The tilt angle is defined as degrees from horizontal (e.g. surface facing up = 0, surface facing horizon = 90)",
PV System,temperature_air,°C,ambient dry bulb temperature.,
PV System,temperature_cell,°C,Temperature of the cell.,
PV System,temperature_module,°C,temperature of the module.,
PV System,tracker_type,,"Tracker type, can be 'fixed', 'single-axis' or 'two-axis'.",
Solar Position,apparent_solar_elevation,degrees,Refraction-corrected solar elevation angle.,
Solar Position,apparent_solar_zenith,degrees,Refraction-corrected solar zenith angle.,
Solar Position,solar_azimuth,degrees,Azimuth angle of the sun in degrees East of North,
Solar Position,solar_elevation,degrees,Elevation angle of the sun.,
Solar Position,solar_zenith,degrees,Zenith angle of the sun.,
